dia;formato;mes;dia_semana;du;sab;dom;ferias;tipo_dia;feriado;ptes;eventos
20150924;24/09/2015;9;5;1;0;0;0;normal;0;0;0
20150925;25/09/2015;9;6;1;0;0;0;normal;0;0;0
20150926;26/09/2015;9;7;0;1;0;0;normal;0;0;0
20150927;27/09/2015;9;1;0;0;1;0;normal;0;0;0
20150928;28/09/2015;9;2;1;0;0;0;normal;0;0;0
20150929;29/09/2015;9;3;1;0;0;0;normal;0;0;0
20150930;30/09/2015;9;4;1;0;0;0;normal;0;0;0
20151001;01/10/2015;10;5;1;0;0;0;normal;0;0;0
20151002;02/10/2015;10;6;1;0;0;0;normal;0;0;0
20151003;03/10/2015;10;7;0;1;0;0;normal;0;0;0
20151004;04/10/2015;10;1;0;0;1;0;normal;0;0;0
20151005;05/10/2015;10;2;1;0;0;0;normal;0;0;0
20151006;06/10/2015;10;3;1;0;0;0;normal;0;0;0
20151007;07/10/2015;10;4;1;0;0;0;normal;0;0;0
20151008;08/10/2015;10;5;1;0;0;0;normal;0;0;0
20151009;09/10/2015;10;6;1;0;0;0;normal;0;0;0
20151010;10/10/2015;10;7;0;1;0;0;normal;0;0;0
20151011;11/10/2015;10;1;0;0;1;0;normal;0;0;0
20151012;12/10/2015;10;2;1;0;0;0;feriado;1;0;0
20151013;13/10/2015;10;3;1;0;0;0;normal;0;0;0
20151014;14/10/2015;10;4;1;0;0;0;normal;0;0;0
20151015;15/10/2015;10;5;1;0;0;0;normal;0;0;0
20151016;16/10/2015;10;6;1;0;0;0;normal;0;0;0
20151017;17/10/2015;10;7;0;1;0;0;normal;0;0;0
20151018;18/10/2015;10;1;0;0;1;0;normal;0;0;0
20151019;19/10/2015;10;2;1;0;0;0;normal;0;0;0
20151020;20/10/2015;10;3;1;0;0;0;normal;0;0;0
20151021;21/10/2015;10;4;1;0;0;0;normal;0;0;0
20151022;22/10/2015;10;5;1;0;0;0;normal;0;0;0
20151023;23/10/2015;10;6;1;0;0;0;normal;0;0;0
